Pos,Times,Pts,J,V,E,D,GP,GC,SG,%,Classificação ou rebaixamento
1,Atlético Mineiro,34,27,12,10,5,39,22,17,63,Fase de grupos da Copa Libertadores de 1972.
2,São Paulo,30,27,10,10,7,26,23,3,56,Fase de grupos da Copa Libertadores de 1972.
3,Botafogo,28,27,8,12,7,27,27,0,52,Também participou da fase final.
4,Corinthians,31,25,12,7,6,33,21,12,62,Participaram da segunda fase.
5,Internacional,30,25,10,10,5,28,23,5,60,Participaram da segunda fase.
6,Grêmio,29,25,10,9,6,24,18,6,58,Participaram da segunda fase.
7,Palmeiras,28,25,9,10,6,27,20,7,56,Participaram da segunda fase.
8,Cruzeiro,28,25,8,12,5,28,17,11,56,Participaram da segunda fase.
9,Santos,27,25,9,9,7,24,16,8,54,Participaram da segunda fase.
10,Coritiba,26,25,11,4,10,23,25,-2,52,Participaram da segunda fase.
11,America,26,25,8,10,7,27,21,6,52,Participaram da segunda fase.
12,Vasco da Gama,23,25,7,9,9,15,22,-7,46,Participaram da segunda fase.
13,Bahia,18,19,5,8,6,14,16,-2,47,Participaram da primeira fase.
14,Flamengo,18,19,4,10,5,13,17,-4,47,Participaram da primeira fase.
15,Santa Cruz,17,19,3,11,5,17,23,-6,45,Participaram da primeira fase.
16,Fluminense,16,19,5,6,8,12,13,-1,42,Participaram da primeira fase.
17,Portuguesa,15,19,6,3,10,16,24,-8,40,Participaram da primeira fase.
18,América Mineiro,13,19,2,9,8,11,19,-8,35,Participaram da primeira fase.
19,Sport,12,19,4,4,11,10,27,-17,32,Participaram da primeira fase.
20,Ceará,9,19,2,5,12,5,25,-20,24,Participaram da primeira fase.
